Размер массива;Выбором, случайные значения от 0 до 5;Выбором, случайные значения от 0 до 4000;Выбором, почти отсортированный;Выбором, в обратном порядке;Пузырьком, случайные значения от 0 до 5;Пузырьком, случайные значения от 0 до 4000;Пузырьком, почти отсортированный;Пузырьком, в обратном порядке;Пузырьком с Айверсоном 1, случайные значения от 0 до 5;Пузырьком с Айверсоном 1, случайные значения от 0 до 4000;Пузырьком с Айверсоном 1, почти отсортированный;Пузырьком с Айверсоном 1, в обратном порядке;Простыми вставками, случайные значения от 0 до 5;Простыми вставками, случайные значения от 0 до 4000;Простыми вставками, почти отсортированный;Простыми вставками, в обратном порядке;Бинарными вставками, случайные значения от 0 до 5;Бинарными вставками, случайные значения от 0 до 4000;Бинарными вставками, почти отсортированный;Бинарными вставками, в обратном порядке;Подсчетом, случайные значения от 0 до 5;Подсчетом, случайные значения от 0 до 4000;Подсчетом, почти отсортированный;Подсчетом, в обратном порядке;Цифровая, случайные значения от 0 до 5;Цифровая, случайные значения от 0 до 4000;Цифровая, почти отсортированный;Цифровая, в обратном порядке;Слиянием, случайные значения от 0 до 5;Слиянием, случайные значения от 0 до 4000;Слиянием, почти отсортированный;Слиянием, в обратном порядке;Быстрой разбиение Хоара, случайные значения от 0 до 5;Быстрой разбиение Хоара, случайные значения от 0 до 4000;Быстрой разбиение Хоара, почти отсортированный;Быстрой разбиение Хоара, в обратном порядке;Быстрой разбиение Ломуто, случайные значения от 0 до 5;Быстрой разбиение Ломуто, случайные значения от 0 до 4000;Быстрой разбиение Ломуто, почти отсортированный;Быстрой разбиение Ломуто, в обратном порядке;Пирамидальной, случайные значения от 0 до 5;Пирамидальной, случайные значения от 0 до 4000;Пирамидальной, почти отсортированный;Пирамидальной, в обратном порядке
150;0.000218;0.000221;0.000210;0.000221;0.000358;0.000384;0.000208;0.000503;0.000343;0.000397;0.000003;0.000509;0.000193;0.000296;0.000014;0.000486;0.000136;0.000185;0.000003;0.000471;0.000027;0.000043;0.000015;0.000027;0.000013;0.000036;0.000015;0.000023;0.000046;0.000045;0.000036;0.000054;0.000023;0.000026;0.000013;0.000026;0.000088;0.000031;0.000395;0.000261;0.000054;0.000074;0.000076;0.000054
160;0.000247;0.000256;0.000247;0.000240;0.000501;0.000399;0.000213;0.000513;0.000371;0.000402;0.000003;0.000524;0.000222;0.000299;0.000003;0.000502;0.000148;0.000206;0.000003;0.000316;0.000016;0.000030;0.000015;0.000015;0.000014;0.000025;0.000016;0.000024;0.000047;0.000088;0.000037;0.000036;0.000026;0.000028;0.000014;0.000015;0.000085;0.000030;0.000409;0.000257;0.000055;0.000066;0.000069;0.000059
170;0.000280;0.000254;0.000251;0.000255;0.000417;0.000455;0.000242;0.000572;0.000418;0.000450;0.000003;0.000588;0.000246;0.000329;0.000004;0.000567;0.000178;0.000206;0.000003;0.000355;0.000016;0.000031;0.000019;0.000020;0.000020;0.000032;0.000016;0.000026;0.000052;0.000051;0.000040;0.000039;0.000027;0.000032;0.000015;0.000016;0.000093;0.000032;0.000716;0.000313;0.000066;0.000071;0.000074;0.000063
180;0.000290;0.000284;0.000273;0.000289;0.000466;0.000511;0.000272;0.000650;0.000456;0.000518;0.000003;0.000649;0.000293;0.000337;0.000003;0.000647;0.000189;0.000244;0.000003;0.000409;0.000017;0.000032;0.000017;0.000017;0.000015;0.000028;0.000017;0.000027;0.000054;0.000055;0.000085;0.000042;0.000030;0.000034;0.000016;0.000017;0.000104;0.000037;0.000512;0.000325;0.000064;0.000085;0.000079;0.000068
190;0.000310;0.000326;0.000304;0.000315;0.000523;0.000566;0.000302;0.000740;0.000528;0.000575;0.000004;0.000733;0.000294;0.000371;0.000004;0.000722;0.000212;0.000249;0.000004;0.000442;0.000018;0.000033;0.000029;0.000018;0.000016;0.000029;0.000018;0.000028;0.000057;0.000058;0.000046;0.000044;0.000030;0.000035;0.000017;0.000019;0.000140;0.000044;0.000564;0.000373;0.000068;0.000081;0.000084;0.000074
200;0.000353;0.000349;0.000346;0.000341;0.000575;0.000612;0.000343;0.000789;0.000551;0.000625;0.000004;0.000924;0.000340;0.000403;0.000003;0.000809;0.000210;0.000279;0.000004;0.000488;0.000018;0.000033;0.000019;0.000019;0.000017;0.000030;0.000019;0.000030;0.000061;0.000062;0.000048;0.000048;0.000033;0.000037;0.000018;0.000020;0.000128;0.000042;0.000622;0.000410;0.000073;0.000085;0.000090;0.000077
210;0.000388;0.000384;0.000381;0.000376;0.000647;0.000781;0.000441;0.000982;0.000621;0.000688;0.000003;0.000894;0.000343;0.000448;0.000004;0.000864;0.000237;0.000292;0.000004;0.000651;0.000019;0.000034;0.000023;0.000019;0.000019;0.000031;0.000020;0.000032;0.000065;0.000077;0.000051;0.000050;0.000036;0.000040;0.000019;0.000021;0.000140;0.000044;0.000691;0.000446;0.000078;0.000091;0.000095;0.000082
220;0.000425;0.000421;0.000417;0.000419;0.000713;0.000746;0.000409;0.000966;0.000680;0.000750;0.000004;0.000979;0.000380;0.000488;0.000004;0.000968;0.000251;0.000349;0.000004;0.000588;0.000020;0.000035;0.000021;0.000020;0.000029;0.000033;0.000020;0.000033;0.000069;0.000070;0.000054;0.000053;0.000037;0.000043;0.000019;0.000020;0.000250;0.000049;0.000757;0.000483;0.000082;0.000096;0.000110;0.000087
230;0.000453;0.000469;0.000446;0.000459;0.000765;0.000817;0.000442;0.001068;0.000753;0.000826;0.000004;0.001070;0.000431;0.000522;0.000004;0.001047;0.000283;0.000347;0.000004;0.000652;0.000020;0.000035;0.000022;0.000020;0.000020;0.000034;0.000021;0.000034;0.000071;0.000074;0.000068;0.000072;0.000038;0.000043;0.000019;0.000022;0.000159;0.000048;0.000827;0.000546;0.000087;0.000101;0.000105;0.000092
240;0.000493;0.000508;0.000485;0.000521;0.000821;0.000884;0.000481;0.001155;0.000808;0.000890;0.000004;0.001161;0.000470;0.000597;0.000005;0.001138;0.000299;0.000379;0.000004;0.000698;0.000021;0.000035;0.000032;0.000027;0.000025;0.000036;0.000022;0.000035;0.000074;0.000077;0.000059;0.000058;0.000042;0.000056;0.000020;0.000022;0.000170;0.000048;0.000914;0.000583;0.000092;0.000107;0.000110;0.000096
